Sr.no,Year,Mo,Dy,Earthquake Magnitude,Country,Location Name,Latitude,Longitude,Maximum Water Height (m),Total Deaths,Total Damage ($Mil)
1167,2006,7.0,17,7.7,INDONESIA,SOUTH OF JAVA,-9.254,107.411,20.9,802.0,55.0
1177,2007,3.0,31,,SOUTH KOREA,YELLOW SEA,,,1.65,4.0,2.0
1198,2008,5.0,12,7.9,CHINA,SICHUAN PROVINCE,30.98,103.396,,87652.0,86000.0
1221,2009,9.0,29,8.1,SAMOA,SAMOA ISLANDS,-15.489,-172.095,22.35,192.0,285.0
1222,2009,9.0,30,7.5,INDONESIA,SUMATRA,-0.72,99.867,0.27,1117.0,2200.0
1228,2010,1.0,12,7.0,HAITI,HAITI & DOMINICAN REPUBLIC,18.457,-72.533,3.21,316000.0,8000.0
1230,2010,2.0,27,8.8,CHILE,CENTRAL CHILE,-36.122,-72.898,29.0,558.0,30000.0
1239,2010,10.0,25,7.8,INDONESIA,SUMATRA,-3.487,100.082,16.9,431.0,39.0
1245,2011,2.0,21,6.1,NEW ZEALAND,SOUTH ISLAND,-43.583,172.68,3.5,185.0,15000.0
1247,2011,3.0,11,9.1,JAPAN,HONSHU ISLAND,38.297,142.372,39.26,18428.0,220136.6
1263,2012,3.0,20,7.4,MEXICO,S. MEXICO,16.493,-98.231,0.2,2.0,600.0
1269,2012,8.0,31,7.6,PHILIPPINES,PHILIPPINE ISLANDS,10.811,126.638,0.15,1.0,0.3
1272,2012,11.0,7,7.3,GUATEMALA,GUATEMALA,13.988,-91.895,0.35,48.0,210.0
1276,2013,2.0,6,7.9,SOLOMON ISLANDS,SANTA CRUZ ISLANDS,-10.766,165.114,11.0,10.0,36.0
1284,2013,9.0,24,7.7,PAKISTAN,OFF COAST GWADAR,25.18,62.26,0.57,825.0,100.0
1289,2014,4.0,1,8.2,CHILE,NORTHERN CHILE,-19.61,-70.769,4.63,7.0,100.0
1295,2014,5.0,24,6.9,GREECE,NORTH AEGEAN SEA,40.289,25.389,0.16,3.0,4500.0
1318,2015,9.0,16,8.3,CHILE,CENTRAL CHILE,-31.573,-71.674,13.6,15.0,600.0
1326,2016,4.0,16,7.8,ECUADOR,OFF COAST,0.35,-80.16,0.6,663.0,3300.0
1332,2016,11.0,13,7.8,NEW ZEALAND,OFF EAST COAST OF SOUTH ISLAND,-42.737,173.054,6.9,2.0,3900.0
1341,2017,3.0,19,,IRAN,PERSIAN GULF,27.835,51.94,3.0,5.0,10.0
1351,2017,9.0,8,8.2,MEXICO,S. MEXICO,14.761,-94.103,2.7,98.0,4000.0
1368,2018,8.0,5,6.9,INDONESIA,BALI SEA,-8.258,116.438,2.0,560.0,509.0
1373,2018,9.0,28,7.5,INDONESIA,SULAWESI,-0.256,119.846,10.73,4340.0,1500.0
1378,2018,12.0,22,,INDONESIA,KRAKATAU,-6.102,105.423,85.0,437.0,250.0
1388,2020,1.0,7,6.4,USA TERRITORY,PUERTO RICO,17.916,-66.813,0.06,4.0,800.0
1399,2020,10.0,30,7.0,TURKEY,AEGEAN SEA,37.918,26.79,5.3,118.0,400.0
1405,2021,2.0,13,7.1,JAPAN,OFF FUKUSHIMA PREFECTURE,37.745,141.749,0.1,1.0,7700.0
1414,2021,8.0,14,7.2,HAITI,PORT-AU-PRINCE,18.408,-73.475,,2248.0,1600.0
1415,2021,9.0,8,7.0,MEXICO,S. MEXICO,16.982,-99.773,0.48,3.0,200.0
1419,2022,1.0,15,,TONGA,TONGA ISLANDS,-20.536,-175.382,22.0,6.0,107.768
1422,2022,3.0,16,7.3,JAPAN,OFF FUKUSHIMA PREFECTURE,37.702,141.587,0.3,4.0,8800.0
1427,2022,7.0,27,7.0,PHILIPPINES,N. LUZON ISLAND,17.56,120.801,0.08,11.0,48.48
1428,2022,9.0,19,7.6,MEXICO,MEXICO,18.367,-103.252,0.79,2.0,25.0
1436,2023,2.0,6,7.8,TURKEY,GULF OF ISKENDERUN,37.166,37.042,0.25,56697.0,87500.0
